index,english,garo,category,notes,verification_tag,flags
231,to hurt (injure),Mata,,,none,DUPLICATE_KEY
232,to hurt (feelings),Saknaata,,,none,DUPLICATE_KEY
233,to touch,Dangtapa,,,none,DUPLICATE_KEY
234,to pinch,Se·eta,,,none,DUPLICATE_KEY
235,to scratch (body),Brika,,,none,DUPLICATE_KEY
236,to scratch (object),Siksika,,,none,DUPLICATE_KEY
237,to itch,Ka·kita,,,none,DUPLICATE_KEY
238,to burn (sting like chili),So·soa,,,none,DUPLICATE_KEY
239,to heal,An·sengpila,,,none,DUPLICATE_KEY
240,open,Oa,,,none,DUPLICATE_KEY
241,close,Chip·a,,,none,DUPLICATE_KEY
242,push,Jitpaka,,,none,DUPLICATE_KEY
243,pull / drive,Sal·a (⚠ same word),,,none,DUPLICATE_KEY
244,break (glass/stick),Be·ata,,,none,DUPLICATE_KEY
245,tear (paper/cloth),Gritt·a,,,none,DUPLICATE_KEY
246,throw,Goata / Gal·a,,,none,DUPLICATE_KEY
247,catch,Rim·a,,,none,DUPLICATE_KEY
248,wash,Su·srong·a,,,none,DUPLICATE_KEY
249,clean,Rongtala,,,none,DUPLICATE_KEY
250,sun,Sal,,,none,DUPLICATE_KEY
251,moon,Jajong,,,none,DUPLICATE_KEY
252,star,Aski,,,none,DUPLICATE_KEY
253,sky,Salgi,,,none,DUPLICATE_KEY
254,cloud,Aram,,,none,DUPLICATE_KEY
255,rain,Mikka,,,none,DUPLICATE_KEY
256,wind,Balwa,,,none,DUPLICATE_KEY
257,thunder,Goera,,,none,DUPLICATE_KEY
258,lightning,Mikka·kimma,,,none,DUPLICATE_KEY
259,fire,Wa·al,,,none,DUPLICATE_KEY
260,water,Chi,,,none,DUPLICATE_KEY
261,earth / soil,A·a,,,none,DUPLICATE_KEY
262,stone,Ro·ong,,,none,DUPLICATE_KEY
263,sand,An·cheng,,,none,DUPLICATE_KEY
264,river,Chibima,,,none,DUPLICATE_KEY
265,mountain,A·bri,,,none,DUPLICATE_KEY
266,forest,Buring,,,none,DUPLICATE_KEY
267,tree,Bol,,,none,DUPLICATE_KEY
268,flower,Bibal,,,none,DUPLICATE_KEY
