index,english,garo,category,notes,verification_tag,flags
2408,daughter in law,nam·chik,family,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2410,dazzled,mik·brap·a,uncategorized,UNVERIFIED/HIGH v:mik-dat-a,VERIFIED/HIGH,DUPLICATE_KEY
2411,dazzled,mik·dat·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2418,defecate,ke˙·em·a,uncategorized,UNVERIFIED/HIGH v:ki˙-a,VERIFIED/HIGH,DUPLICATE_KEY
2419,defecate,ki˙·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2420,defend,kreng·chak·a,uncategorized,UNVERIFIED/HIGH v:peng˙-chak-a / wa-ra-chak-a,VERIFIED/HIGH,DUPLICATE_KEY
2421,defend,peng˙·chak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2422,defend,wa·ra·chak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2426,deliver baby,han˙·o ra˙·a,uncategorized,UNVERIFIED/HIGH v:jak-o ra˙-a,VERIFIED/HIGH,DUPLICATE_KEY
2427,deliver baby,jak·o ra˙·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2428,demand,bok·a,uncategorized,UNVERIFIED/HIGH v:ham˙-chrak-a,VERIFIED/HIGH,DUPLICATE_KEY
2429,demand,ham˙·chrak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2430,denomination,dor·mo,uncategorized,UNVERIFIED/HIGH v:to-rom,VERIFIED/HIGH,DUPLICATE_KEY
2431,denomination,to·rom,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2432,dense,bol·grim,uncategorized,UNVERIFIED/HIGH v:gan˙-chat-a,VERIFIED/HIGH,DUPLICATE_KEY
2433,dense,gan˙·chat·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
2436,deny,bang·kang·a,uncategorized,UNVERIFIED/HIGH v:je-chak-a,VERIFIED/HIGH,DUPLICATE_KEY
