index,english,garo,category,notes,verification_tag,flags
4762,flat,pel·deng·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4763,flatten,chep·a,uncategorized,UNVERIFIED/HIGH v:dok-dep-a / ro·-op-a,VERIFIED/HIGH,DUPLICATE_KEY
4764,flatten,dok·dep·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4765,flatten,ro·op·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4767,flicker,jing·jet·jing·jet,uncategorized,UNVERIFIED/HIGH v:ring-rang-ga-rang,VERIFIED/HIGH,DUPLICATE_KEY
4768,flicker,ring·rang·ga·rang,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4771,float,ba·sa·a,uncategorized,UNVERIFIED/HIGH v:bal-beng-a / bal-ju-ri-a,VERIFIED/HIGH,DUPLICATE_KEY
4772,float,bal·beng·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4773,float,bal·ju·ri·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4774,flour,a·ta,food,UNVERIFIED/HIGH v:gin-di,VERIFIED/HIGH,DUPLICATE_KEY
4775,flour,gin·di,food,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4785,follow,i·rik·a,uncategorized,UNVERIFIED/HIGH v:ja·-rik-a / ki·-sang-chak-a / rik-pa-a,VERIFIED/HIGH,DUPLICATE_KEY
4786,follow,ja·rik·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4787,follow,ki·sang·chak·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4788,follow,rik·pa·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4793,fool around,kal·ak·a,uncategorized,UNVERIFIED/HIGH v:mang-kal-a / rong-kal-a,VERIFIED/HIGH,DUPLICATE_KEY
4794,fool around,mang·kal·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4795,fool around,rong·kal·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4799,foot print,ja·gam,uncategorized,UNVERIFIED/HIGH v:ja·-kol,VERIFIED/HIGH,DUPLICATE_KEY
4800,foot print,ja·kol,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4803,forcefully,dra·e,uncategorized,UNVERIFIED/HIGH v:-chrak- / -sek- / -tat-,VERIFIED/HIGH,DUPLICATE_KEY
4804,forcefully,·chrak·,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4805,forcefully,·sek·,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4806,forcefully,·tat·,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4813,fork of tree,bol·pek·chrap,phrases,UNVERIFIED/HIGH v:gam-ra,VERIFIED/HIGH,DUPLICATE_KEY
4814,fork of tree,gam·ra,phrases,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4815,fortune,a·si,uncategorized,UNVERIFIED/HIGH v:ra-song,VERIFIED/HIGH,DUPLICATE_KEY
4816,fortune,ra·song,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4819,fragrant,ging·si·mrang,uncategorized,UNVERIFIED/HIGH v:sim-il-a,VERIFIED/HIGH,DUPLICATE_KEY
4820,fragrant,sim·il·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4840,gather,cha·tip·tip·a,uncategorized,UNVERIFIED/HIGH v:chim-ong-a / kol-a / kol-am-a,VERIFIED/HIGH,DUPLICATE_KEY
4841,gather,chim·ong·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4842,gather,kol·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4843,gather,kol·am·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4844,generation,cha·song,uncategorized,UNVERIFIED/HIGH v:tro,VERIFIED/HIGH,DUPLICATE_KEY
4845,generation,tro,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4847,genuine,a·dot,uncategorized,UNVERIFIED/HIGH v:chek-chek,VERIFIED/HIGH,DUPLICATE_KEY
4848,genuine,chek·chek,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4849,get,man·a,uncategorized,UNVERIFIED/HIGH v:ra·-a / sik-a,VERIFIED/HIGH,DUPLICATE_KEY
4850,get,ra·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4851,get,sik·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4865,gnat,su·sam,uncategorized,UNVERIFIED/HIGH v:tam-pi-sim-ik,VERIFIED/HIGH,DUPLICATE_KEY
4866,gnat,tam·pi·sim·ik,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4867,go back,i·ang·pil·a,uncategorized,UNVERIFIED/HIGH v:pil·-a,VERIFIED/HIGH,DUPLICATE_KEY
4868,go back,pil·a,uncategorized,variant/UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
4870,go down,chep·a,uncategorized,UNVERIFIED/HIGH,VERIFIED/HIGH,DUPLICATE_KEY
