key,group_size,index,english,garo,category,notes
"surround",2,6306,"surround","wil·wil·a","uncategorized","variant/UNVERIFIED/HIGH"
"sweep",3,6313,"sweep","ham··pil·a","uncategorized","UNVERIFIED/HIGH v:ot-a / ot-rok-a"
"sweep",3,6314,"sweep","ot·a","uncategorized","variant/UNVERIFIED/HIGH"
"sweep",3,6315,"sweep","ot·rok·a","uncategorized","variant/UNVERIFIED/HIGH"
"swell",4,6317,"swell","bo·a","uncategorized","UNVERIFIED/HIGH v:chi-bo-del-a / han·-o chi du-a / sa·-al-a"
"swell",4,6318,"swell","chi·bo·del·a","uncategorized","variant/UNVERIFIED/HIGH"
"swell",4,6319,"swell","han··o chi du·a","uncategorized","variant/UNVERIFIED/HIGH"
"swell",4,6320,"swell","sa··al·a","uncategorized","variant/UNVERIFIED/HIGH"
"swell up",3,6321,"swell up","han bo·a","uncategorized","UNVERIFIED/HIGH v:na-a / rip-om-a"
"swell up",3,6322,"swell up","na·a","uncategorized","variant/UNVERIFIED/HIGH"
"swell up",3,6323,"swell up","rip·om·a","uncategorized","variant/UNVERIFIED/HIGH"
"swollen",2,6329,"swollen","bo·ri·bo·ri","uncategorized","UNVERIFIED/HIGH v:ping-a"
"swollen",2,6330,"swollen","ping·a","uncategorized","variant/UNVERIFIED/HIGH"
"sympathize",2,6333,"sympathize","gi·sik ong··chak·a","uncategorized","UNVERIFIED/HIGH v:ka·-sa-chak-a"
"sympathize",2,6334,"sympathize","ka··sa·chak·a","uncategorized","variant/UNVERIFIED/HIGH"
"talk",3,6340,"talk","a·gan·a","uncategorized","UNVERIFIED/HIGH v:al-ap-a / bol-a"
"talk",3,6341,"talk","al·ap·a","uncategorized","variant/UNVERIFIED/HIGH"
"talk",3,6342,"talk","bol·a","uncategorized","variant/UNVERIFIED/HIGH"
"tangled",4,6343,"tangled","ba·je·a","uncategorized","UNVERIFIED/HIGH v:bing-bang / sit-tip-a / stik-a"
"tangled",4,6344,"tangled","bing·bang","uncategorized","variant/UNVERIFIED/HIGH"
"tangled",4,6345,"tangled","sit·tip·a","uncategorized","variant/UNVERIFIED/HIGH"
"tangled",4,6346,"tangled","stik·a","uncategorized","variant/UNVERIFIED/HIGH"
"tank",2,6347,"tank","pa·gar","uncategorized","UNVERIFIED/HIGH v:pu-kur"
"tank",2,6348,"tank","pu·kur","uncategorized","variant/UNVERIFIED/HIGH"
"tap",3,6349,"tap","dok·kak·kak·a","uncategorized","UNVERIFIED/HIGH v:dok-tok-tok-a / tik-tak-a"
"tap",3,6350,"tap","dok·tok·tok·a","uncategorized","variant/UNVERIFIED/HIGH"
"tap",3,6351,"tap","tik·tak·a","uncategorized","variant/UNVERIFIED/HIGH"
"tapping",2,6352,"tapping","rak·rak·a","uncategorized","UNVERIFIED/HIGH v:tak-tak-a"
"tapping",2,6353,"tapping","tak·tak·a","uncategorized","variant/UNVERIFIED/HIGH"
"tasteless",2,6359,"tasteless","chi·brek·a","uncategorized","UNVERIFIED/HIGH v:-brok-"
"tasteless",2,6360,"tasteless","·brok·","uncategorized","variant/UNVERIFIED/HIGH"
"tattered",3,6361,"tattered","drak·a","uncategorized","UNVERIFIED/HIGH v:git-chit-tring-trang-a / so-drak-sa-drak"
"tattered",3,6362,"tattered","git·chit·tring·trang·a","uncategorized","variant/UNVERIFIED/HIGH"
"tattered",3,6363,"tattered","so·drak·sa·drak","uncategorized","variant/UNVERIFIED/HIGH"
"tease",4,6367,"tease","bu··rok·a","uncategorized","UNVERIFIED/HIGH v:mang-kal-a / re-jil-a / rong-kal-a"
"tease",4,6368,"tease","mang·kal·a","uncategorized","variant/UNVERIFIED/HIGH"
"tease",4,6369,"tease","re·jil·a","uncategorized","variant/UNVERIFIED/HIGH"
"tease",4,6370,"tease","rong·kal·a","uncategorized","variant/UNVERIFIED/HIGH"
"tell",2,6373,"tell","a·gan·e ron··a","uncategorized","UNVERIFIED/HIGH v:in-a"
"tell",2,6374,"tell","in·a","uncategorized","variant/UNVERIFIED/HIGH"
"tempt",2,6376,"tempt","bot·a pal·a","uncategorized","UNVERIFIED/HIGH v:mal-et-a"
"tempt",2,6377,"tempt","mal·et·a","uncategorized","variant/UNVERIFIED/HIGH"
"tendons",3,6379,"tendons","ja··dil","uncategorized","UNVERIFIED/HIGH v:ja·-si-ja·-dil / rok"
"tendons",3,6380,"tendons","ja··si·ja··dil","uncategorized","variant/UNVERIFIED/HIGH"
"tendons",3,6381,"tendons","rok","uncategorized","variant/UNVERIFIED/HIGH"
"tendrils",2,6382,"tendrils","jak·sil","uncategorized","UNVERIFIED/HIGH v:sang-gong"
"tendrils",2,6383,"tendrils","sang·gong","uncategorized","variant/UNVERIFIED/HIGH"
"terrified",2,6384,"terrified","ja·brang·a","uncategorized","UNVERIFIED/HIGH v:ken-ja-brang-a"
"terrified",2,6385,"terrified","ken·ja·brang·a","uncategorized","variant/UNVERIFIED/HIGH"
"test",2,6386,"test","ni·a","education","UNVERIFIED/HIGH v:po-ri-ka"
"test",2,6387,"test","po·ri·ka","education","variant/UNVERIFIED/HIGH"
"thatch",3,6388,"thatch","a·gal","uncategorized","UNVERIFIED/HIGH v:am·-pang / ja·-ku-a"
"thatch",3,6389,"thatch","am··pang","uncategorized","variant/UNVERIFIED/HIGH"
"thatch",3,6390,"thatch","ja··ku·a","uncategorized","variant/UNVERIFIED/HIGH"
"threaten",2,6401,"threaten","heng·a","uncategorized","UNVERIFIED/HIGH v:ku·-ching-a"
"threaten",2,6402,"threaten","ku··ching·a","uncategorized","variant/UNVERIFIED/HIGH"
"throw around",2,6404,"throw around","go·jron·a","uncategorized","UNVERIFIED/HIGH v:go-sri-sra-a"
"throw around",2,6405,"throw around","go·sri·sra·a","uncategorized","variant/UNVERIFIED/HIGH"
"throw at",2,6406,"throw at","go·gak·a","uncategorized","UNVERIFIED/HIGH v:go-wek-a"
