index,english,garo,category,notes,tagged_verified_high
4521,"disturbed","man··dik·a","uncategorized","UNVERIFIED/HIGH v:rim·-dang-a",yes
4522,"disturbed","rim··dang·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4523,"disturbing","ka··so·a","uncategorized","UNVERIFIED/HIGH",yes
4527,"divide","ma··at·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4531,"divorce","ha··wal","uncategorized","variant/UNVERIFIED/HIGH",yes
4534,"do","ka··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4536,"done","bon··a","uncategorized","UNVERIFIED/HIGH v:mat-chot-a / ses",yes
4546,"doze","mik·gil jom··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4549,"draw water","ko··a","food","UNVERIFIED/HIGH",yes
4558,"dried fish","na··kam","food","UNVERIFIED/HIGH",yes
4563,"drizzle","se··em·se··em","uncategorized","variant/UNVERIFIED/HIGH",yes
4568,"drunk","han cheng··a","uncategorized","UNVERIFIED/HIGH v:mik-mak-a",yes
4570,"dry season","ha··ran","food","UNVERIFIED/HIGH",yes
4572,"dull","cham··a","uncategorized","UNVERIFIED/HIGH v:chat-a",yes
4578,"dung","ke··em·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4579,"dung","ma··su·ke··em·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4580,"dung beetle","ki··bit·bit","uncategorized","UNVERIFIED/HIGH",yes
4581,"dunk","sim··a","uncategorized","UNVERIFIED/HIGH",yes
4582,"dusk","an··tam·git·tu","uncategorized","UNVERIFIED/HIGH",yes
4584,"dust","ha··gin·dil·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4593,"earth","ha··","uncategorized","UNVERIFIED/HIGH v:ha·-gil-sak / ha·-mang",yes
4594,"earth","ha··gil·sak","uncategorized","variant/UNVERIFIED/HIGH",yes
4595,"earth","ha··mang","uncategorized","variant/UNVERIFIED/HIGH",yes
4596,"earthen","ha··ni","uncategorized","UNVERIFIED/HIGH",yes
4598,"easy","nom··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4599,"eat up","cha··chot·a","food","UNVERIFIED/HIGH",yes
4603,"edge","a··sam","uncategorized","UNVERIFIED/HIGH v:bi-wa / rik-ing / rik-ong",yes
4613,"emerge","ong··kat·a","uncategorized","UNVERIFIED/HIGH",yes
4619,"end","ku··mang","uncategorized","variant/UNVERIFIED/HIGH",yes
4623,"endure","han··chak·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4628,"equivalent","ong··a","uncategorized","UNVERIFIED/HIGH",yes
4642,"exaggerate","bo··dap·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4652,"excrement","ke··em·a","uncategorized","UNVERIFIED/HIGH",yes
4654,"exist","ong··a","uncategorized","UNVERIFIED/HIGH",yes
4655,"expect","hai··chak·a","uncategorized","UNVERIFIED/HIGH v:mik-sok-a",yes
4660,"explain","pe··e a·gan·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4661,"explain","pe··prak·e a·gan·a","uncategorized","variant/UNVERIFIED/HIGH",yes
4665,"eye of needle","sil·eng·si a··kil·ok","health","UNVERIFIED/HIGH",yes
4675,"fall","ga··ak·a","uncategorized","UNVERIFIED/HIGH v:ru-rong-a",yes
4679,"fall onto","ga··ak·dap·a","uncategorized","UNVERIFIED/HIGH",yes
4682,"family","ha··ma","family","UNVERIFIED/HIGH v:nok / po-ri-bar",yes
4688,"fart","ki··si·a","uncategorized","UNVERIFIED/HIGH",yes
4696,"fearless","pa··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4698,"feed","du··a","uncategorized","variant/UNVERIFIED/HIGH",yes
4700,"feed animals","du··a","uncategorized","UNVERIFIED/HIGH",yes
4703,"feel","rim··e ni·a","uncategorized","UNVERIFIED/HIGH",yes
